DATE,YEAR,MO,DY,Temp_Max,Temp_Min,PRECTOTCORR
2018-12-31,2018.0,12.0,16.0,24.088709677419356,11.008387096774193,0.49
2019-01-31,2019.0,1.0,16.0,24.57,10.065483870967741,0.0
2019-02-28,2019.0,2.0,14.5,24.312142857142856,9.981428571428571,0.1464285714285714
2019-03-31,2019.0,3.0,16.0,27.440967741935484,11.53516129032258,0.0012903225806451613
2019-04-30,2019.0,4.0,15.5,33.263666666666666,17.851666666666667,0.146
2019-05-31,2019.0,5.0,16.0,39.08354838709677,24.536774193548386,0.052258064516129035
2019-06-30,2019.0,6.0,15.5,44.02133333333333,28.241666666666667,0.0
2019-07-31,2019.0,7.0,16.0,44.294838709677414,28.15741935483871,0.0
2019-08-31,2019.0,8.0,16.0,43.67903225806452,28.284193548387094,0.0
2019-09-30,2019.0,9.0,15.5,41.79766666666667,26.33566666666667,0.0
2019-10-31,2019.0,10.0,16.0,36.85516129032258,22.75709677419355,0.0
2019-11-30,2019.0,11.0,15.5,27.665000000000003,15.535666666666666,0.30400000000000005
2019-12-31,2019.0,12.0,16.0,23.894193548387097,10.338709677419354,0.023548387096774193
2020-01-31,2020.0,1.0,16.0,21.271612903225805,6.9470967741935485,0.09258064516129032
2020-02-29,2020.0,2.0,15.0,25.652413793103445,9.943793103448275,0.0
2020-03-31,2020.0,3.0,16.0,29.40548387096774,13.458709677419353,0.000967741935483871
2020-04-30,2020.0,4.0,15.5,34.06366666666666,19.496,0.9643333333333334
2020-05-31,2020.0,5.0,16.0,39.377096774193554,23.68548387096774,0.00870967741935484
2020-06-30,2020.0,6.0,15.5,43.22666666666667,26.641333333333332,0.0
2020-07-31,2020.0,7.0,16.0,44.946451612903225,29.854193548387098,0.0022580645161290325
2020-08-31,2020.0,8.0,16.0,43.19225806451613,27.61483870967742,0.0
2020-09-30,2020.0,9.0,15.5,40.682,25.382333333333335,0.0
2020-10-31,2020.0,10.0,16.0,33.60290322580645,18.429032258064513,0.0
2020-11-30,2020.0,11.0,15.5,29.058333333333334,15.099333333333334,0.165
2020-12-31,2020.0,12.0,16.0,23.02774193548387,9.78967741935484,0.0732258064516129
2021-01-31,2021.0,1.0,16.0,22.36806451612903,8.291290322580645,0.23580645161290323
2021-02-28,2021.0,2.0,14.5,24.208928571428572,10.082142857142857,0.105
2021-03-31,2021.0,3.0,16.0,32.38290322580645,15.020967741935483,0.02064516129032258
2021-04-30,2021.0,4.0,15.5,35.52133333333334,19.951666666666664,0.11466666666666667
2021-05-31,2021.0,5.0,16.0,40.9483870967742,24.364193548387096,0.0
2021-06-30,2021.0,6.0,15.5,43.54966666666667,26.970666666666666,0.0
2021-07-31,2021.0,7.0,16.0,44.987096774193546,30.056451612903224,0.02935483870967742
2021-08-31,2021.0,8.0,16.0,44.13129032258065,28.48193548387097,0.0
2021-09-30,2021.0,9.0,15.5,40.050333333333334,24.348666666666666,0.0
2021-10-31,2021.0,10.0,16.0,36.76032258064516,21.807419354838707,0.0
2021-11-30,2021.0,11.0,15.5,29.872999999999998,15.759333333333332,0.0
2021-12-31,2021.0,12.0,16.0,23.852903225806454,10.623225806451613,0.06709677419354838
2022-01-31,2022.0,1.0,16.0,21.52064516129032,7.841612903225807,1.070967741935484
2022-02-28,2022.0,2.0,14.5,24.739285714285717,8.912142857142857,0.0
2022-03-31,2022.0,3.0,16.0,30.580645161290324,13.587096774193547,0.0
2022-04-30,2022.0,4.0,15.5,36.21666666666667,20.344,0.28966666666666663
2022-05-31,2022.0,5.0,16.0,39.90709677419355,22.31032258064516,0.0
2022-06-30,2022.0,6.0,15.5,43.951,27.04366666666667,0.0
2022-07-31,2022.0,7.0,16.0,43.14451612903226,28.899677419354838,0.022903225806451613
2022-08-31,2022.0,8.0,16.0,43.75677419354839,29.465806451612906,0.01806451612903226
2022-09-30,2022.0,9.0,15.5,40.80233333333333,25.14,0.0
2022-10-31,2022.0,10.0,16.0,35.50064516129032,20.299354838709675,0.0
2022-11-30,2022.0,11.0,15.5,30.644000000000002,17.058333333333334,0.0
2022-12-31,2022.0,12.0,16.0,22.978709677419356,11.02032258064516,1.3870967741935485
2023-01-31,2023.0,1.0,16.0,19.114838709677418,8.400967741935483,2.6022580645161293
2023-02-28,2023.0,2.0,14.5,24.4025,9.167142857142858,0.0
2023-03-31,2023.0,3.0,16.0,29.17806451612903,14.31225806451613,0.614516129032258
2023-04-30,2023.0,4.0,15.5,30.68133333333333,17.426666666666666,1.0106666666666666
2023-05-31,2023.0,5.0,16.0,38.877096774193554,23.681935483870966,0.10290322580645161
2023-06-30,2023.0,6.0,15.5,42.777,27.03666666666667,0.0
2023-07-31,2023.0,7.0,16.0,45.31612903225806,28.565806451612904,0.0
2023-08-31,2023.0,8.0,16.0,44.71290322580645,29.15774193548387,0.0
2023-09-30,2023.0,9.0,15.5,42.31733333333333,26.924666666666667,0.0
2023-10-31,2023.0,10.0,16.0,36.54419354838709,21.805806451612902,0.1167741935483871
2023-11-30,2023.0,11.0,15.5,29.07633333333333,17.375999999999998,0.26999999999999996
2023-12-31,2023.0,12.0,16.0,24.215806451612906,10.974516129032258,0.6948387096774193
